#,Name,Type,Description,Time1,Price1,Time2,Price2,Color,Style,Width,BG,Ray,Arrow,Corner,Hpos,Vpos
4,Zigzag.c.1368748800,Text,"12",2013.05.17 00:00,1.27454,,,Black,0,1,false,false,,0,,
5,Zigzag.c.1371600000,Text,"23",2013.06.19 00:00,1.35257,,,Black,0,1,false,false,,0,,
6,Zigzag.c.1373328000,Text,"14",2013.07.09 00:00,1.27038,,,Black,0,1,false,false,,0,,
7,Zigzag.c.1376956800,Text,"30",2013.08.20 00:00,1.35329,,,Black,0,1,false,false,,0,,
8,Zigzag.c.1378425600,Text,"13",2013.09.06 00:00,1.30654,,,Black,0,1,false,false,,0,,
9,Zigzag.c.1382659200,Text,"35",2013.10.25 00:00,1.39105,,,Black,0,1,false,false,,0,,
10,Zigzag.c.1383782400,Text,"9",2013.11.07 00:00,1.32443,,,Black,0,1,false,false,,0,,
11,Zigzag.c.1388102400,Text,"35",2013.12.27 00:00,1.39739,,,Black,0,1,false,false,,0,,
12,Zigzag.c.1391385600,Text,"25",2014.02.03 00:00,1.34352,,,Black,0,1,false,false,,0,,
13,Zigzag.c.1399507200,Text,"68",2014.05.08 00:00,1.40582,,,Black,0,1,false,false,,0,,
14,Zigzag.c.1401926400,Text,"20",2014.06.05 00:00,1.34724,,,Black,0,1,false,false,,0,,
15,Zigzag.c.1404172800,Text,"18",2014.07.01 00:00,1.37510,,,Black,0,1,false,false,,0,,
16,Zigzag.c.1426204800,Text,"181",2015.03.13 00:00,1.03905,,,Black,0,1,false,false,,0,,
17,Zigzag.c.1431648000,Text,"45",2015.05.15 00:00,1.16031,,,Black,0,1,false,false,,0,,
18,Zigzag.c.1437350400,Text,"46",2015.07.20 00:00,1.07454,,,Black,0,1,false,false,,0,,
19,Zigzag.c.1440374400,Text,"25",2015.08.24 00:00,1.18555,,,Black,0,1,false,false,,0,,
20,Zigzag.c.1449100800,Text,"73",2015.12.03 00:00,1.04673,,,Black,0,1,false,false,,0,,
21,Zigzag.c.1455148800,Text,"48",2016.02.11 00:00,1.15160,,,Black,0,1,false,false,,0,,
22,Zigzag.c.1457568000,Text,"20",2016.03.10 00:00,1.07581,,,Black,0,1,false,false,,0,,
23,Zigzag.c.1462233600,Text,"38",2016.05.03 00:00,1.17100,,,Black,0,1,false,false,,0,,
24,Zigzag.c.1464566400,Text,"19",2016.05.30 00:00,1.10658,,,Black,0,1,false,false,,0,,
25,Zigzag.c.1471478400,Text,"58",2016.08.18 00:00,1.14434,,,Black,0,1,false,false,,0,,
26,Zigzag.c.1477353600,Text,"48",2016.10.25 00:00,1.08175,,,Black,0,1,false,false,,0,,
27,Zigzag.c.1478649600,Text,"11",2016.11.09 00:00,1.14077,,,Black,0,1,false,false,,0,,
28,Zigzag.c.1483401600,Text,"39",2017.01.03 00:00,1.02977,,,Black,0,1,false,false,,0,,
29,Zigzag.c.1485993600,Text,"22",2017.02.02 00:00,1.09129,,,Black,0,1,false,false,,0,,
30,Zigzag.c.1487721600,Text,"14",2017.02.22 00:00,1.04580,,,Black,0,1,false,false,,0,,
31,Zigzag.c.1504828800,Text,"142",2017.09.08 00:00,1.21833,,,Black,0,1,false,false,,0,,
32,Zigzag.c.1510012800,Text,"39",2017.11.07 00:00,1.15153,,,Black,0,1,false,false,,0,,
33,Zigzag.c.1518739200,Text,"71",2018.02.16 00:00,1.26667,,,Black,0,1,false,false,,0,,
34,Zigzag.c.1534291200,Text,"128",2018.08.15 00:00,1.12628,,,Black,0,1,false,false,,0,,
35,Zigzag.c.1537747200,Text,"28",2018.09.24 00:00,1.18992,,,Black,0,1,false,false,,0,,
36,Zigzag.c.1541980800,Text,"35",2018.11.12 00:00,1.11756,,,Black,0,1,false,false,,0,,
37,Zigzag.c.1547078400,Text,"41",2019.01.10 00:00,1.16594,,,Black,0,1,false,false,,0,,
38,Zigzag.c.1551916800,Text,"40",2019.03.07 00:00,1.11459,,,Black,0,1,false,false,,0,,
39,Zigzag.c.1553040000,Text,"9",2019.03.20 00:00,1.15103,,,Black,0,1,false,false,,0,,
40,Zigzag.c.1558569600,Text,"46",2019.05.23 00:00,1.10847,,,Black,0,1,false,false,,0,,
41,Zigzag.c.1561420800,Text,"23",2019.06.25 00:00,1.14764,,,Black,0,1,false,false,,0,,
42,Zigzag.c.1569888000,Text,"70",2019.10.01 00:00,1.08483,,,Black,0,1,false,false,,0,,
43,Zigzag.c.1571616000,Text,"14",2019.10.21 00:00,1.12329,,,Black,0,1,false,false,,0,,
44,Zigzag.c.1574985600,Text,"29",2019.11.29 00:00,1.09630,,,Black,0,1,false,false,,0,,
45,Zigzag.c.1577750400,Text,"21",2019.12.31 00:00,1.12833,,,Black,0,1,false,false,,0,,
46,Zigzag.c.1582156800,Text,"36",2020.02.20 00:00,1.07563,,,Black,0,1,false,false,,0,,
47,Zigzag.c.1583712000,Text,"12",2020.03.09 00:00,1.16138,,,Black,0,1,false,false,,0,,
48,Zigzag.c.1584921600,Text,"10",2020.03.23 00:00,1.05312,,,Black,0,1,false,false,,0,,
49,Zigzag.c.1598918400,Text,"116",2020.09.01 00:00,1.21057,,,Black,0,1,false,false,,0,,
50,Zigzag.c.1604448000,Text,"46",2020.11.04 00:00,1.15619,,,Black,0,1,false,false,,0,,
51,Zigzag.c.1607040000,Text,"22",2020.12.04 00:00,1.22547,,,Black,0,1,false,false,,0,,
52,Zigzag.c.1607299200,Text,"1",2020.12.09 00:00,1.20905,,,Black,0,1,false,false,,0,,
